	Experiment	Time	Time2	Plate	nr	Sample	Microbe	Compound	Compound2	Value	Relative	Slope
20471	1	T1	1	P24	24	X82	P138	C4	Compound	1.05	2.511961722	1.638106896
20508	1	T2	2	P24	24	X82	P150	C4	Compound	1.155	3.427299703	-2.144660263
20544	1	T3	3	P24	24	X82	P150	C4	Compound	1.149	3.409495549	-0.747793999
20579	1	T4	4	P24	24	X82	P138	C4	Compound	1.133	2.710526316	2.658237666
20652	1	T6	6	P24	24	X82	P150	C4	Compound	1.064	3.15727003	2.573083802
20687	1	T0	0	P24	24	X83	P139A	C4	Compound	0.696	1	0.81994412
20723	1	T1	1	P24	24	X83	P139A	C4	Compound	0.718	1.031609195	0.770322057
20760	1	T2	2	P24	24	X83	P152	C4	Compound	0.861	2.860465116	-0.711825698
20796	1	T3	3	P24	24	X83	P152	C4	Compound	1.02	3.388704319	0.234153692
20831	1	T4	4	P24	24	X83	P139A	C4	Compound	1.033	1.484195402	2.152023956
20904	1	T6	6	P24	24	X83	P152	C4	Compound	1.005	3.338870432	2.317780958
20939	1	T0	0	P24	24	X84	P139C	C4	Compound	0.115	1	-12.96183534
20975	1	T1	1	P24	24	X84	P139C	C4	Compound	0.109	0.947826087	44.1279068
21012	1	T2	2	P24	24	X84	P153	C4	Compound	0.108	0.981818182	-44.1279068
21048	1	T3	3	P24	24	X84	P153	C4	Compound	0.108	0.981818182	14.70930227
21083	1	T4	4	P24	24	X84	P139C	C4	Compound	0.109	0.947826087	-59.36144902
21156	1	T6	6	P24	24	X84	P153	C4	Compound	0.108	0.981818182	-302.500003
21191	1	T0	0	P24	24	X85	P140A	C4	Compound	0.371	1	5.274590171
21227	1	T1	1	P24	24	X85	P140A	C4	Compound	0.371	1	5.084240875
21264	1	T2	2	P24	24	X85	P154	C4	Compound	0.551	1.284382284	10.42320016
21300	1	T3	3	P24	24	X85	P154	C4	Compound	0.577	1.344988345	-6.047838154
21335	1	T4	4	P24	24	X85	P140A	C4	Compound	0.545	1.469002695	4.02727202
21408	1	T6	6	P24	24	X85	P154	C4	Compound	0.461	1.074592075	-2.507268418
21443	1	T0	0	P24	24	X86	P140B	C4	Compound	0.316	1	1.74196386
21479	1	T1	1	P24	24	X86	P140B	C4	Compound	0.408	1.291139241	1.806505173
21516	1	T2	2	P24	24	X86	P155	C4	Compound	0.566	2.073260073	-2.255581713
21552	1	T3	3	P24	24	X86	P155	C4	Compound	0.626	2.293040293	-4.981749088
21587	1	T4	4	P24	24	X86	P140B	C4	Compound	0.596	1.886075949	5.691718713
21660	1	T6	6	P24	24	X86	P155	C4	Compound	0.501	1.835164835	4.337421202
21695	1	T0	0	P24	24	X87	P140C.1	C4	Compound	0.371	1	1.634994427
21731	1	T1	1	P24	24	X87	P140C.1	C4	Compound	0.674	1.81671159	-0.690505772
21768	1	T2	2	P24	24	X87	P160	C4	Compound	0.9	2.158273381	-3.500730331
21804	1	T3	3	P24	24	X87	P160	C4	Compound	0.73	1.75059952	-7.010708
21839	1	T4	4	P24	24	X87	P140C.1	C4	Compound	0.68	1.832884097	5.248033358
21912	1	T6	6	P24	24	X87	P160	C4	Compound	0.617	1.479616307	0.108009074
21947	1	T0	0	P24	24	X88	P140C.2	C4	Compound	0.307	1	0.360394677
21983	1	T1	1	P24	24	X88	P140C.2	C4	Compound	0.692	2.254071661	-1.555244467
22020	1	T2	2	P24	24	X88	P162	C4	Compound	0.565	1.30787037	3.176963453
22056	1	T3	3	P24	24	X88	P162	C4	Compound	0.618	1.430555556	-2.301331105
22091	1	T4	4	P24	24	X88	P140C.2	C4	Compound	0.576	1.876221498	2.1518936
22164	1	T6	6	P24	24	X88	P162	C4	Compound	0.492	1.138888889	-1.376123718
22199	1	T0	0	P24	24	X89	P136	Blank	Blank	0.351	1	1.033194625
22235	1	T1	1	P24	24	X89	P136	Blank	Blank	0.716	2.03988604	-3.097062533
22272	1	T2	2	P24	24	X89	P149	Blank	Blank	0.666	1.55971897	7.370344599
22308	1	T3	3	P24	24	X89	P149	Blank	Blank	0.646	1.512880562	-4.826101915
22343	1	T4	4	P24	24	X89	P136	Blank	Blank	0.597	1.700854701	4.379746708
22416	1	T6	6	P24	24	X89	P149	Blank	Blank	0.53	1.241217799	-0.281160075
22451	1	T0	0	P24	24	X90	P138	Blank	Blank	0.104	1	0.225080047
22487	1	T1	1	P24	24	X90	P138	Blank	Blank	0.794	7.634615385	0.619614086
22524	1	T2	2	P24	24	X90	P150	Blank	Blank	0.866	8.093457944	0.638949367
22560	1	T3	3	P24	24	X90	P150	Blank	Blank	1.117	10.43925234	-3.042077721
22595	1	T4	4	P24	24	X90	P138	Blank	Blank	1.079	10.375	0.539005136
22668	1	T6	6	P24	24	X90	P150	Blank	Blank	1.024	9.570093458	0.64748398
22703	1	T0	0	P24	24	X91	P139A	Blank	Blank	0.686	1	3.335981129
22739	1	T1	1	P24	24	X91	P139A	Blank	Blank	0.769	1.120991254	3.544190786
22776	1	T2	2	P24	24	X91	P152	Blank	Blank	0.724	1.543710021	-2.870091639
22812	1	T3	3	P24	24	X91	P152	Blank	Blank	0.731	1.558635394	-0.724514196
22847	1	T4	4	P24	24	X91	P139A	Blank	Blank	0.711	1.036443149	11.39236261
22920	1	T6	6	P24	24	X91	P152	Blank	Blank	0.653	1.392324094	0.763029671
22955	1	T0	0	P24	24	X92	P139C	Blank	Blank	0.332	1	1.362841004
22991	1	T1	1	P24	24	X92	P139C	Blank	Blank	0.619	1.864457831	2.563567935
23028	1	T2	2	P24	24	X92	P153	Blank	Blank	0.583	2.449579832	-1.751914151
23064	1	T3	3	P24	24	X92	P153	Blank	Blank	0.583	2.449579832	-1.264535629
23099	1	T4	4	P24	24	X92	P139C	Blank	Blank	0.529	1.593373494	6.054119982
23172	1	T6	6	P24	24	X92	P153	Blank	Blank	0.476	2	4.56028877
23207	1	T0	0	P24	24	X93	P140A	Blank	Blank	0.664	1	1.807580606
23243	1	T1	1	P24	24	X93	P140A	Blank	Blank	0.496	0.746987952	2.204924092
23280	1	T2	2	P24	24	X93	P154	Blank	Blank	0.595	1.426858513	-2.576303768
23316	1	T3	3	P24	24	X93	P154	Blank	Blank	0.588	1.410071942	-0.88528856
23351	1	T4	4	P24	24	X93	P140A	Blank	Blank	0.55	0.828313253	6.059621277
23424	1	T6	6	P24	24	X93	P154	Blank	Blank	0.501	1.201438849	-0.730665025
23459	1	T0	0	P24	24	X94	P140B	Blank	Blank	0.349	1	2.126298613
23495	1	T1	1	P24	24	X94	P140B	Blank	Blank	0.591	1.693409742	-1.186780252
23532	1	T2	2	P24	24	X94	P155	Blank	Blank	0.677	1.791005291	-10.7076429
23568	1	T3	3	P24	24	X94	P155	Blank	Blank	0.637	1.685185185	-12.46849876
23603	1	T4	4	P24	24	X94	P140B	Blank	Blank	0.604	1.730659026	6.675310554
23676	1	T6	6	P24	24	X94	P155	Blank	Blank	0.579	1.531746032	6.672470508
23711	1	T0	0	P24	24	X95	P140C.1	Blank	Blank	0.654	1	1.250477938
23747	1	T1	1	P24	24	X95	P140C.1	Blank	Blank	0.461	0.704892966	1.327817556
23784	1	T2	2	P24	24	X95	P160	Blank	Blank	0.56	1.794871795	-1.629828768
23820	1	T3	3	P24	24	X95	P160	Blank	Blank	0.501	1.605769231	0.13346921
23855	1	T4	4	P24	24	X95	P140C.1	Blank	Blank	0.47	0.718654434	3.704262822
23928	1	T6	6	P24	24	X95	P160	Blank	Blank	0.457	1.46474359	10.65697526
23963	1	T0	0	P24	24	X96	P140C.2	Blank	Blank	0.116	1	6.729994091
23999	1	T1	1	P24	24	X96	P140C.2	Blank	Blank	0.108	0.931034483	7.908615418
24036	1	T2	2	P24	24	X96	P162	Blank	Blank	0.12	1.111111111	-17.35714287
24072	1	T3	3	P24	24	X96	P162	Blank	Blank	0.116	1.074074074	3.249379652
24107	1	T4	4	P24	24	X96	P140C.2	Blank	Blank	0.116	1	5.142857141
24180	1	T6	6	P24	24	X96	P162	Blank	Blank	0.192	1.777777778	0.190128923
24	1	T0	0	P25	25	X1	P141	Control	Control	0.386	1	0.135445344
60	1	T1	1	P25	25	X1	P141	Control	Control	1.113	2.883419689	-0.553926785
97	1	T2	2	P25	25	X1	A3	Control	Control	0.494	1.279792746	1.604105989
133	1	T3	3	P25	25	X1	A3	Control	Control	0.837	2.168393782	-7.988106574
168	1	T4	4	P25	25	X1	P141	Control	Control	0.767	1.987046632	26.35949753
205	1	T5	5	P25	25	X1	A3	Control	Control	0.779	2.018134715	5.311060036
241	1	T6	6	P25	25	X1	A3	Control	Control	0.796	2.062176166	5.297685767
276	1	T0	0	P25	25	X2	P142	Control	Control	0.279	1	1.335419734
312	1	T1	1	P25	25	X2	P142	Control	Control	0.459	1.64516129	1.364393338
349	1	T2	2	P25	25	X2	A12	Control	Control	0.357	1.279569892	1.264818355
385	1	T3	3	P25	25	X2	A12	Control	Control	0.57	2.043010753	1.817307693
420	1	T4	4	P25	25	X2	P142	Control	Control	0.798	2.860215054	12.91852117
457	1	T5	5	P25	25	X2	A12	Control	Control	0.822	2.946236559	2.78792709
493	1	T6	6	P25	25	X2	A12	Control	Control	0.841	3.014336918	2.838197818
528	1	T0	0	P25	25	X3	P143	Control	Control	0.352	1	3.95000672
564	1	T1	1	P25	25	X3	P143	Control	Control	0.398	1.130681818	1.763955817
601	1	T2	2	P25	25	X3	A17A	Control	Control	0.519	1.474431818	1.834912829
637	1	T3	3	P25	25	X3	A17A	Control	Control	0.78	2.215909091	3.136344799
672	1	T4	4	P25	25	X3	P143	Control	Control	0.878	2.494318182	-6.638358431
709	1	T5	5	P25	25	X3	A17A	Control	Control	0.823	2.338068182	4.236202793
745	1	T6	6	P25	25	X3	A17A	Control	Control	0.772	2.193181818	5.013372169
780	1	T0	0	P25	25	X4	P144	Control	Control	0.369	1	4.214776182
816	1	T1	1	P25	25	X4	P144	Control	Control	0.439	1.189701897	1.676935617
853	1	T2	2	P25	25	X4	A17B	Control	Control	0.542	1.468834688	1.818425964
889	1	T3	3	P25	25	X4	A17B	Control	Control	0.846	2.292682927	-7.198536868
924	1	T4	4	P25	25	X4	P144	Control	Control	0.857	2.322493225	-6.737916215
961	1	T5	5	P25	25	X4	A17B	Control	Control	0.782	2.119241192	5.016097711
997	1	T6	6	P25	25	X4	A17B	Control	Control	0.755	2.046070461	5.674819967
1032	1	T0	0	P25	25	X5	P145B	Control	Control	0.355	1	2.701762456
1068	1	T1	1	P25	25	X5	P145B	Control	Control	0.549	1.546478873	1.757989241
1105	1	T2	2	P25	25	X5	A23	Control	Control	0.526	1.481690141	1.714040468
1141	1	T3	3	P25	25	X5	A23	Control	Control	0.827	2.329577465	-2.385325209
1176	1	T4	4	P25	25	X5	P145B	Control	Control	0.886	2.495774648	-5.61708861
1213	1	T5	5	P25	25	X5	A23	Control	Control	0.802	2.25915493	4.475563878
1249	1	T6	6	P25	25	X5	A23	Control	Control	0.766	2.157746479	-0.011345701
1284	1	T0	0	P25	25	X6	P146	Control	Control	0.109	1	-0.002624145
1320	1	T1	1	P25	25	X6	P146	Control	Control	0.461	4.229357798	-0.461404606
1357	1	T2	2	P25	25	X6	A28	Control	Control	0.107	0.981651376	12.30645173
1393	1	T3	3	P25	25	X6	A28	Control	Control	0.118	1.082568807	12.90789489
1428	1	T4	4	P25	25	X6	P146	Control	Control	0.114	1.04587156	16.20270275
1465	1	T5	5	P25	25	X6	A28	Control	Control	0.124	1.137614679	38.89626552
1501	1	T6	6	P25	25	X6	A28	Control	Control	0.125	1.146788991	11.61160169
1536	1	T0	0	P25	25	X7	P147	Control	Control	0.784	1	1.384494638
1572	1	T1	1	P25	25	X7	P147	Control	Control	0.602	0.767857143	2.642433168
1609	1	T2	2	P25	25	X7	A34	Control	Control	0.838	1.068877551	1.54510469
1645	1	T3	3	P25	25	X7	A34	Control	Control	1.188	1.515306122	1.803342228
1680	1	T4	4	P25	25	X7	P147	Control	Control	1.825	2.327806122	10.01401841
1717	1	T5	5	P25	25	X7	A34	Control	Control	1.931	2.463010204	3.707619271
1753	1	T6	6	P25	25	X7	A34	Control	Control	1.972	2.515306122	2.398126832
1788	1	T0	0	P25	25	X8	P148	Control	Control	0.282	1	0.290646231
1824	1	T1	1	P25	25	X8	P148	Control	Control	0.699	2.478723404	-0.029735782
1861	1	T2	2	P25	25	X8	A35	Control	Control	0.38	1.34751773	0.640596103
1897	1	T3	3	P25	25	X8	A35	Control	Control	0.692	2.453900709	0.761647812
1932	1	T4	4	P25	25	X8	P148	Control	Control	1.239	4.393617021	3.422059982
1969	1	T5	5	P25	25	X8	A35	Control	Control	1.311	4.64893617	1.451654212
2005	1	T6	6	P25	25	X8	A35	Control	Control	1.403	4.975177305	1.55137012
2040	1	T0	0	P25	25	X9	P141	C1	Compound	0.339	1	0.878228862
2076	1	T1	1	P25	25	X9	P141	C1	Compound	0.69	2.03539823	0.609135219
2113	1	T2	2	P25	25	X9	A3	C1	Compound	0.499	1.471976401	0.649215861
2149	1	T3	3	P25	25	X9	A3	C1	Compound	1.271	3.749262537	5.078722931
2184	1	T4	4	P25	25	X9	P141	C1	Compound	1.37	4.041297935	15.7674419
2221	1	T5	5	P25	25	X9	A3	C1	Compound	1.36	4.01179941	1.808516795
2257	1	T6	6	P25	25	X9	A3	C1	Compound	1.386	4.088495575	1.99488399
2292	1	T0	0	P25	25	X10	P142	C1	Compound	0.314	1	0.270128827
2328	1	T1	1	P25	25	X10	P142	C1	Compound	0.721	2.296178344	-0.186540485
2365	1	T2	2	P25	25	X10	A12	C1	Compound	0.394	1.25477707	1.263553929
2401	1	T3	3	P25	25	X10	A12	C1	Compound	0.683	2.175159236	2.140298808
2436	1	T4	4	P25	25	X10	P142	C1	Compound	0.886	2.821656051	4.294654009
2473	1	T5	5	P25	25	X10	A12	C1	Compound	0.954	3.038216561	2.55797201
2509	1	T6	6	P25	25	X10	A12	C1	Compound	1.032	3.286624204	2.322754484
2544	1	T0	0	P25	25	X11	P143	C1	Compound	0.284	1	0.262066628
2580	1	T1	1	P25	25	X11	P143	C1	Compound	0.723	2.545774648	-0.729194007
2617	1	T2	2	P25	25	X11	A17A	C1	Compound	0.382	1.345070423	1.180702645
2653	1	T3	3	P25	25	X11	A17A	C1	Compound	0.573	2.017605634	1.32639213
2688	1	T4	4	P25	25	X11	P143	C1	Compound	0.857	3.017605634	3.262024414
2725	1	T5	5	P25	25	X11	A17A	C1	Compound	0.98	3.450704225	2.273629633
2761	1	T6	6	P25	25	X11	A17A	C1	Compound	0.953	3.355633803	2.397854484
2796	1	T0	0	P25	25	X12	P144	C1	Compound	0.107	1	4.963917523
2832	1	T1	1	P25	25	X12	P144	C1	Compound	0.118	1.102803738	-19.78767129
2869	1	T2	2	P25	25	X12	A17B	C1	Compound	0.11	1.028037383	53.50000225
2905	1	T3	3	P25	25	X12	A17B	C1	Compound	0.109	1.018691589	80.24999908
2940	1	T4	4	P25	25	X12	P144	C1	Compound	0.111	1.037383178	160.5000067
2977	1	T5	5	P25	25	X12	A17B	C1	Compound	0.111	1.037383178	129.928571
3013	1	T6	6	P25	25	X12	A17B	C1	Compound	0.112	1.046728972	16.87812045
3048	1	T0	0	P25	25	X13	P145B	C1	Compound	0.527	1	2.452478969
3084	1	T1	1	P25	25	X13	P145B	C1	Compound	0.445	0.844402277	2.27114744
3121	1	T2	2	P25	25	X13	A23	C1	Compound	0.735	1.394686907	4.870911868
3157	1	T3	3	P25	25	X13	A23	C1	Compound	0.897	1.702087287	-37.42011942
3192	1	T4	4	P25	25	X13	P145B	C1	Compound	0.904	1.715370019	-27.33302996
3229	1	T5	5	P25	25	X13	A23	C1	Compound	0.889	1.686907021	8.169233327
3265	1	T6	6	P25	25	X13	A23	C1	Compound	0.866	1.643263757	4.303554674
3300	1	T0	0	P25	25	X14	P146	C1	Compound	0.354	1	1.670380898
3336	1	T1	1	P25	25	X14	P146	C1	Compound	0.614	1.734463277	2.40578817
3373	1	T2	2	P25	25	X14	A28	C1	Compound	0.769	2.172316384	3.756131506
3409	1	T3	3	P25	25	X14	A28	C1	Compound	0.908	2.564971751	-6.449392728
3444	1	T4	4	P25	25	X14	P146	C1	Compound	0.891	2.516949153	-12.12328777
3481	1	T5	5	P25	25	X14	A28	C1	Compound	0.905	2.556497175	3.603454967
3517	1	T6	6	P25	25	X14	A28	C1	Compound	0.871	2.460451977	4.150320581
3552	1	T0	0	P25	25	X15	P147	C1	Compound	0.548	1	5.099255577
3588	1	T1	1	P25	25	X15	P147	C1	Compound	0.704	1.284671533	3.662013657
3625	1	T2	2	P25	25	X15	A34	C1	Compound	0.678	1.237226277	3.712185486
3661	1	T3	3	P25	25	X15	A34	C1	Compound	0.899	1.640510949	-26.95081994
3696	1	T4	4	P25	25	X15	P147	C1	Compound	0.909	1.658759124	-42.94029894
3733	1	T5	5	P25	25	X15	A34	C1	Compound	0.891	1.625912409	8.749162022
3769	1	T6	6	P25	25	X15	A34	C1	Compound	0.895	1.633211679	9.77921341
3804	1	T0	0	P25	25	X16	P148	C1	Compound	0.608	1	6.230736729
3840	1	T1	1	P25	25	X16	P148	C1	Compound	0.718	1.180921053	4.611195154
3877	1	T2	2	P25	25	X16	A35	C1	Compound	0.802	1.319078947	5.075926213
3913	1	T3	3	P25	25	X16	A35	C1	Compound	0.972	1.598684211	-24.77826444
3948	1	T4	4	P25	25	X16	P148	C1	Compound	0.936	1.539473684	-16.73081253
3985	1	T5	5	P25	25	X16	A35	C1	Compound	0.941	1.547697368	10.42171504
4021	1	T6	6	P25	25	X16	A35	C1	Compound	0.887	1.458881579	9.136878725
4056	1	T0	0	P25	25	X17	P141	C2	Compound	0.546	1	2.802874743
4092	1	T1	1	P25	25	X17	P141	C2	Compound	0.766	1.402930403	2.66786604
4129	1	T2	2	P25	25	X17	A3	C2	Compound	0.671	1.228937729	3.213324867
4165	1	T3	3	P25	25	X17	A3	C2	Compound	0.919	1.683150183	-18.81095417
4200	1	T4	4	P25	25	X17	P141	C2	Compound	0.881	1.613553114	66.0483866
4237	1	T5	5	P25	25	X17	A3	C2	Compound	0.893	1.635531136	8.672132238
4273	1	T6	6	P25	25	X17	A3	C2	Compound	0.891	1.631868132	-0.33782259
4308	1	T0	0	P25	25	X18	P142	C2	Compound	0.108	1	-0.00339222
4344	1	T1	1	P25	25	X18	P142	C2	Compound	0.485	4.490740741	-0.426268055
4381	1	T2	2	P25	25	X18	A12	C2	Compound	0.105	0.972222222	34.71428553
4417	1	T3	3	P25	25	X18	A12	C2	Compound	0.109	1.009259259	69.42857052
4452	1	T4	4	P25	25	X18	P142	C2	Compound	0.111	1.027777778	108.000003
4489	1	T5	5	P25	25	X18	A12	C2	Compound	0.112	1.037037037	131.1428578
4525	1	T6	6	P25	25	X18	A12	C2	Compound	0.113	1.046296296	-2.726365594
4560	1	T0	0	P25	25	X19	P143	C2	Compound	0.47	1	2.342536039
4596	1	T1	1	P25	25	X19	P143	C2	Compound	0.765	1.627659574	5.444015428
4633	1	T2	2	P25	25	X19	A17A	C2	Compound	0.81	1.723404255	5.238239226
4669	1	T3	3	P25	25	X19	A17A	C2	Compound	0.927	1.972340426	12.32038839
4704	1	T4	4	P25	25	X19	P143	C2	Compound	0.982	2.089361702	-20.50554024
4741	1	T5	5	P25	25	X19	A17A	C2	Compound	0.972	2.068085106	5.25408923
4777	1	T6	6	P25	25	X19	A17A	C2	Compound	0.94	2	1.815583773
4812	1	T0	0	P25	25	X20	P144	C2	Compound	0.371	1	0.983703322
4848	1	T1	1	P25	25	X20	P144	C2	Compound	0.881	2.374663073	-0.027404345
4885	1	T2	2	P25	25	X20	A17B	C2	Compound	0.738	1.989218329	3.818377913
4921	1	T3	3	P25	25	X20	A17B	C2	Compound	0.88	2.371967655	2.98658301
4956	1	T4	4	P25	25	X20	P144	C2	Compound	0.905	2.4393531	-9.656405986
4993	1	T5	5	P25	25	X20	A17B	C2	Compound	0.883	2.380053908	4.100491132
5029	1	T6	6	P25	25	X20	A17B	C2	Compound	0.832	2.242587601	3.916773775
5064	1	T0	0	P25	25	X21	P145B	C2	Compound	0.397	1	1.58221498
5100	1	T1	1	P25	25	X21	P145B	C2	Compound	0.772	1.944584383	3.68596396
5137	1	T2	2	P25	25	X21	A23	C2	Compound	0.75	1.889168766	3.694974776
5173	1	T3	3	P25	25	X21	A23	C2	Compound	0.908	2.287153652	-8.122397624
5208	1	T4	4	P25	25	X21	P145B	C2	Compound	0.932	2.347607053	-9.340745501
5245	1	T5	5	P25	25	X21	A23	C2	Compound	0.889	2.23929471	4.552360597
5281	1	T6	6	P25	25	X21	A23	C2	Compound	0.847	2.133501259	4.01647901
5316	1	T0	0	P25	25	X22	P146	C2	Compound	0.385	1	1.622140099
5352	1	T1	1	P25	25	X22	P146	C2	Compound	0.741	1.924675325	3.071464564
5389	1	T2	2	P25	25	X22	A28	C2	Compound	0.743	1.92987013	3.046322853
5425	1	T3	3	P25	25	X22	A28	C2	Compound	0.931	2.418181818	-10.55232554
5460	1	T4	4	P25	25	X22	P146	C2	Compound	0.949	2.464935065	-9.746314899
5497	1	T5	5	P25	25	X22	A28	C2	Compound	0.909	2.361038961	4.134449525
5533	1	T6	6	P25	25	X22	A28	C2	Compound	0.87	2.25974026	4.183206391
5568	1	T0	0	P25	25	X23	P147	C2	Compound	0.377	1	1.739983576
5604	1	T1	1	P25	25	X23	P147	C2	Compound	0.702	1.862068966	3.007894071
5641	1	T2	2	P25	25	X23	A34	C2	Compound	0.703	1.864721485	2.826799139
5677	1	T3	3	P25	25	X23	A34	C2	Compound	0.891	2.363395225	3.638996162
5712	1	T4	4	P25	25	X23	P147	C2	Compound	0.945	2.5066313	-8.328424133
5749	1	T5	5	P25	25	X23	A34	C2	Compound	0.906	2.403183024	4.030278357
5785	1	T6	6	P25	25	X23	A34	C2	Compound	0.855	2.267904509	4.512734091
5820	1	T0	0	P25	25	X24	P148	C2	Compound	0.107	1	2.19863001
5856	1	T1	1	P25	25	X24	P148	C2	Compound	0.116	1.08411215	-19.71052605
5893	1	T2	2	P25	25	X24	A35	C2	Compound	0.108	1.009345794	68.78571262
5929	1	T3	3	P25	25	X24	A35	C2	Compound	0.109	1.018691589	0
5964	1	T4	4	P25	25	X24	P148	C2	Compound	0.111	1.037383178	-53.50000225
6001	1	T5	5	P25	25	X24	A35	C2	Compound	0.109	1.018691589	221.6428585
6037	1	T6	6	P25	25	X24	A35	C2	Compound	0.11	1.028037383	-0.894825501
6072	1	T0	0	P25	25	X25	P141	C3	Compound	0.495	1	0.045199401
6108	1	T1	1	P25	25	X25	P141	C3	Compound	1.576	3.183838384	-0.725826438
6145	1	T2	2	P25	25	X25	A3	C3	Compound	0.562	1.135353535	5.321760237
6181	1	T3	3	P25	25	X25	A3	C3	Compound	0.653	1.319191919	5.023266595
6216	1	T4	4	P25	25	X25	P141	C3	Compound	0.748	1.511111111	7.279411767
6253	1	T5	5	P25	25	X25	A3	C3	Compound	0.85	1.717171717	7.669014086
6289	1	T6	6	P25	25	X25	A3	C3	Compound	0.85	1.717171717	-0.12628727
6324	1	T0	0	P25	25	X26	P142	C3	Compound	0.416	1	0.418086844
6360	1	T1	1	P25	25	X26	P142	C3	Compound	1.337	3.213942308	-0.706972911
6397	1	T2	2	P25	25	X26	A12	C3	Compound	0.843	2.026442308	2.186683657
6433	1	T3	3	P25	25	X26	A12	C3	Compound	1.128	2.711538462	-6.857145208
6468	1	T4	4	P25	25	X26	P142	C3	Compound	1.118	2.6875	-12.94896245
6505	1	T5	5	P25	25	X26	A12	C3	Compound	1.127	2.709134615	3.284249713
6541	1	T6	6	P25	25	X26	A12	C3	Compound	1.081	2.598557692	3.706376473
6576	1	T0	0	P25	25	X27	P143	C3	Compound	0.516	1	0.528375734
6612	1	T1	1	P25	25	X27	P143	C3	Compound	0.95	1.841085271	-1.08534583
6649	1	T2	2	P25	25	X27	A17A	C3	Compound	0.621	1.203488372	3.648101705
6685	1	T3	3	P25	25	X27	A17A	C3	Compound	0.833	1.614341085	-30.81498851
6720	1	T4	4	P25	25	X27	P143	C3	Compound	0.839	1.625968992	-19.39849665
6757	1	T5	5	P25	25	X27	A17A	C3	Compound	0.816	1.581395349	9.300385887
6793	1	T6	6	P25	25	X27	A17A	C3	Compound	0.829	1.606589147	6.106872998
6828	1	T0	0	P25	25	X28	P144	C3	Compound	0.587	1	0.505038619
6864	1	T1	1	P25	25	X28	P144	C3	Compound	0.93	1.584327087	-1.56280759
6901	1	T2	2	P25	25	X28	A17B	C3	Compound	0.645	1.098807496	4.571552196
6937	1	T3	3	P25	25	X28	A17B	C3	Compound	0.82	1.39693356	8.607852324
6972	1	T4	4	P25	25	X28	P144	C3	Compound	0.885	1.507666099	-14.0719174
7009	1	T5	5	P25	25	X28	A17B	C3	Compound	0.851	1.449744463	11.85276481
7045	1	T6	6	P25	25	X28	A17B	C3	Compound	0.871	1.483816014	4.754232607
7080	1	T0	0	P25	25	X29	P145B	C3	Compound	0.519	1	0.853455201
7116	1	T1	1	P25	25	X29	P145B	C3	Compound	0.832	1.603082852	-0.455667807
7153	1	T2	2	P25	25	X29	A23	C3	Compound	0.605	1.165703276	3.839178089
7189	1	T3	3	P25	25	X29	A23	C3	Compound	0.805	1.55105973	0
7224	1	T4	4	P25	25	X29	P145B	C3	Compound	0.83	1.599229287	-30.46761125
7261	1	T5	5	P25	25	X29	A23	C3	Compound	0.805	1.55105973	10.03025983
7297	1	T6	6	P25	25	X29	A23	C3	Compound	0.801	1.543352601	-0.363876014
7332	1	T0	0	P25	25	X30	P146	C3	Compound	0.106	1	0.0672641
7368	1	T1	1	P25	25	X30	P146	C3	Compound	0.509	4.801886792	-0.45248994
7405	1	T2	2	P25	25	X30	A28	C3	Compound	0.166	1.566037736	-2.738007382
7441	1	T3	3	P25	25	X30	A28	C3	Compound	0.108	1.018867925	68.14285905
7476	1	T4	4	P25	25	X30	P146	C3	Compound	0.11	1.037735849	105.9999973
7513	1	T5	5	P25	25	X30	A28	C3	Compound	0.111	1.047169811	105.9999997
7549	1	T6	6	P25	25	X30	A28	C3	Compound	0.112	1.056603774	-2.477462152
7584	1	T0	0	P25	25	X31	P147	C3	Compound	0.485	1	2.093904466
7620	1	T1	1	P25	25	X31	P147	C3	Compound	0.811	1.672164948	2.812311011
7657	1	T2	2	P25	25	X31	A34	C3	Compound	0.906	1.868041237	3.10586033
7693	1	T3	3	P25	25	X31	A34	C3	Compound	1.137	2.344329897	18.38862599
7728	1	T4	4	P25	25	X31	P147	C3	Compound	1.166	2.404123711	-13.56248173
7765	1	T5	5	P25	25	X31	A34	C3	Compound	1.153	2.377319588	4.08749581
7801	1	T6	6	P25	25	X31	A34	C3	Compound	1.102	2.272164948	1.244499819
7836	1	T0	0	P25	25	X32	P148	C3	Compound	0.395	1	0.573362533
7872	1	T1	1	P25	25	X32	P148	C3	Compound	1.122	2.840506329	-0.294067558
7909	1	T2	2	P25	25	X32	A35	C3	Compound	0.779	1.972151899	2.021075319
7945	1	T3	3	P25	25	X32	A35	C3	Compound	1.071	2.711392405	25.66786998
7980	1	T4	4	P25	25	X32	P148	C3	Compound	1.09	2.759493671	-8.507462701
8017	1	T5	5	P25	25	X32	A35	C3	Compound	1.083	2.741772152	3.249373596
8053	1	T6	6	P25	25	X32	A35	C3	Compound	1.014	2.567088608	2.90495591
8088	1	T0	0	P25	25	X33	P141	C4	Compound	0.395	1	1.124262409
8124	1	T1	1	P25	25	X33	P141	C4	Compound	0.9	2.278481013	1.757920711
8161	1	T2	2	P25	25	X33	A3	C4	Compound	0.805	2.037974684	2.034932638
8197	1	T3	3	P25	25	X33	A3	C4	Compound	1.096	2.774683544	-25.66786998
8232	1	T4	4	P25	25	X33	P141	C4	Compound	1.103	2.792405063	-7.424812038
